Prices

Product No.		| Price
-------------------------------------------
04756                   | 20.00
047532                  | 20.00
85849                   | 09.00
7483987                 | 30.00
678                     | 30.00         
356                     | 50.00         
095                     | 70.00         
945                     | 50.00         
689                     | 40.00         
134                     | 40.00         
245                     | 40.00                             
96059                   | 30.00         
49392                   | 20.00         
59403                   | 20.00         
304958                  | 20.00         
75678                   | 20.00         
378                     | 20.00         
9234872398              | 50.00         
04783                   | 24.00         
567                     | 40.00      
247                     | 40.00         
111                     | 30.00         
